Molecular Weight (g/mol),Density (g/cm3),C in comononmer A,C in comononmer B,%B,CH in A,CH in A+B,CH2 in A,CH2 in A+B,CH3 in A+B,CH bonds A+B,N in A+B,O in A+B,C=O,%C=O,Rings,%C in rings,Tm(°C),Tg (°C),Crystallinity%,"Critical thickness of the specimen (Lcrit, mm)",Surface area (mm2),Specific surface area (mm2/mm3),Pretrement,Level,Temperature,Humidity,pH,k Biodegradation rate (s^-1) first-order,T Lag time (days),A%,Testing duration (days)
485000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,175,-4.5,61.07,0.04,410.5,50.26666667,1 Indoor,0,37,1,7.4,2.4618E-06,0,1.9,30
485000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,175,-4.5,61.07,0.04,410.5,50.26666667,1 Indoor,0,37,1,7.4,3.9329E-06,0,2.7,30
485000,1.22,4,0,0,1,1,1,1,1,6,0,2,1,16.66666667,0,0,174,5,62,0.04,410.5,50.26666667,1 Indoor,0,37,1,7.4,0.000010241,0,1,30
438,1.28,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,65,-11.8,0.1,5,78.53981634,1.2,1 Indoor,5,20,0.4375,7.4,0.000026505,12.57,100,28
452,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,65,-12.3,0.1,5,78.53981634,1.2,1 Indoor,5,20,0.4375,7.4,2.2315E-06,9.06,100,28
381,1.27,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,60,-19.2,0.1,5,78.53981634,1.2,1 Indoor,5,20,0.4375,7.4,1.4595E-06,4.035,100,28
319,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,55,-26.3,0.1,5,78.53981634,1.2,1 Indoor,5,20,0.4375,7.4,3.3681E-06,4.35,100,28
393,1.24,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,55,-26.8,0.1,5,78.53981634,1.2,1 Indoor,5,20,0.4375,7.4,1.0957E-06,3.327,100,28
325,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,50,-29.2,0.1,5,78.53981634,1.2,1 Indoor,5,20,0.4375,7.4,1.6551E-06,7.227,100,28
157503,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,170,65,37.6,0.08,1208,25.16666667,1 Indoor,0,30,1,7,4.8206E-09,0,98.3,20
157503,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,170,65,37.6,0.08,1208,25.16666667,1 Indoor,7,30,1,7.5,1.0814E-07,8.489,98.3,20
157503,1.26,3,0,0,1,1,0,0,1,4,0,2,1,20,0,0,170,65,37.6,0.08,1208,25.16666667,1 Indoor,7,30,1,8,8.1412E-07,11.43,98.3,20
